order_date,region,state_province,city,category,sub_category,product_name,sales,quantity,discount,profit,year,month,month_name,sales_per_unit,profit_margin,outliers_sales,outliers_profit
2023-01-03,Central,Texas,Houston,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2,0.2,5.551199999999998,2023,1,January,8.224,0.33749999999999986,False,False
2023-01-04,Central,Illinois,Naperville,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.539999999999999,2,0.8,-5.487,2023,1,January,1.7699999999999996,-1.5500000000000005,False,False
2023-01-04,Central,Illinois,Naperville,Office Supplies,Labels,Avery 508,11.784,3,0.2,4.271699999999999,2023,1,January,3.9280000000000004,0.36249999999999993,False,False
2023-01-04,Central,Illinois,Naperville,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.736,3,0.2,-64.77480000000001,2023,1,January,90.91199999999999,-0.23750000000000004,False,True
2023-01-05,East,Pennsylvania,Philadelphia,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,3,0.2,4.884,2023,1,January,6.5120000000000005,0.25,False,False
2023-01-06,South,Kentucky,Henderson,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,0.0,746.4077999999997,2023,1,January,285.98,0.28999999999999987,True,True
2023-01-06,South,Kentucky,Henderson,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,0.0,1.4796000000000005,2023,1,January,2.74,0.2700000000000001,False,False
2023-01-06,South,Georgia,Athens,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,0.0,5.2398,2023,1,January,4.26,0.41000000000000003,False,False
2023-01-06,South,Kentucky,Henderson,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,0.0,274.491,2023,1,January,304.99,0.44999999999999996,True,True
2023-01-06,South,Kentucky,Henderson,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.0,0.3111999999999995,2023,1,January,7.78,0.009999999999999983,False,False
